uf_1,uf_2,uf_3,uf_4,uf_5,if_1,if_2,if_3,if_4,if_5,user_id,item_id,target
0.5488135039273248,0.7151893663724195,0.6027633760716439,0.5448831829968969,0.4236547993389047,0.24082877991544682,0.10029394226549782,0.016429629591474204,0.9295293167921905,0.66991654659091,0.0,52.0,0.1117345249372976
0.9589827218634736,0.3553688484719296,0.3567068904025429,0.01632850268370789,0.18523232523618394,0.24082877991544682,0.10029394226549782,0.016429629591474204,0.9295293167921905,0.66991654659091,79.0,52.0,2.705125528120627
0.5488135039273248,0.7151893663724195,0.6027633760716439,0.5448831829968969,0.4236547993389047,0.0813695988533053,0.8818965030968323,0.7196201578422882,0.9663899714378934,0.5076355472407649,0.0,149.0,-2.143029627714884
0.39605970280729375,0.565421311858509,0.18327983621407862,0.14484775934337724,0.48805628064895457,0.0813695988533053,0.8818965030968323,0.7196201578422882,0.9663899714378934,0.5076355472407649,49.0,149.0,-1.087719066029097
0.7774075618487531,0.25942256434535493,0.37381313793256143,0.587599635196389,0.272821902424467,0.0813695988533053,0.8818965030968323,0.7196201578422882,0.9663899714378934,0.5076355472407649,67.0,149.0,1.3119411131293885
0.5488135039273248,0.7151893663724195,0.6027633760716439,0.5448831829968969,0.4236547993389047,0.2656325475414473,0.01350870662671888,0.4837528647017362,0.25611379502001796,0.8237176720231694,0.0,210.0,0.44437134479594503
0.5210366062041293,0.05433798833925363,0.19999652489640007,0.01852179446061397,0.7936977033574206,0.2656325475414473,0.01350870662671888,0.4837528647017362,0.25611379502001796,0.8237176720231694,34.0,210.0,10.103786087056767
0.2965562650640299,0.9920112434144741,0.2494200410564512,0.1059061548822322,0.9509526110553941,0.2656325475414473,0.01350870662671888,0.4837528647017362,0.25611379502001796,0.8237176720231694,90.0,210.0,0.950216804263318
0.5488135039273248,0.7151893663724195,0.6027633760716439,0.5448831829968969,0.4236547993389047,0.3966101121260647,0.10668244680271344,0.4087738294698373,0.2961277734146933,0.49340696228917813,0.0,286.0,1.0860508169946392
0.45860396176858587,0.7241676366115433,0.399025321703102,0.9040443929009577,0.6900250201912274,0.3966101121260647,0.10668244680271344,0.4087738294698373,0.2961277734146933,0.49340696228917813,73.0,286.0,1.8255429332517192
0.5023894574892614,0.9425835996979304,0.6339976977446607,0.8672894054624648,0.9402096893547673,0.3966101121260647,0.10668244680271344,0.4087738294698373,0.2961277734146933,0.49340696228917813,94.0,286.0,1.7944503644109655
0.5488135039273248,0.7151893663724195,0.6027633760716439,0.5448831829968969,0.4236547993389047,0.680370254395195,0.7399462420484398,0.9669559479667332,0.414438025228521,0.3553798150610512,0.0,421.0,-1.9943276008622022
